author,quote,no_stopwords,lemmatized,stemmed
Oscar Wilde,When liberty comes with hands dabbled in blood it is hard to shake hands with her.,liberty comes hands dabbled blood hard shake hands,liberty come hand dabble blood hard shake hand,liberti come hand dabbl blood hard shake hand
Oscar Wilde,Cultivated leisure is the aim of man.,Cultivated leisure aim man,Cultivated leisure aim man,cultiv leisur aim man
Oscar Wilde,"The mind of the thoroughly well-informed man is a dreadful thing. It is like a bric-a-brac shop, all monsters and dust, with everything priced above its proper value.",mind thoroughly well informed man dreadful thing like bric brac shop monsters dust everything priced proper value,mind thoroughly well inform man dreadful thing like bric brac shop monster dust everything price proper value,mind thorough well inform man dread thing like bric brac shop monster dust everyth price proper valu
Oscar Wilde,A kiss may ruin a human life.,kiss may ruin human life,kiss may ruin human life,kiss may ruin human life
Oscar Wilde,The way of paradoxes is the way of truth. To test Reality we must see it on the tight-rope. When the Verities become acrobats we can judge them.,way paradoxes way truth test Reality must see tight rope Verities become acrobats judge,way paradox way truth test Reality must see tight rope Verities become acrobat judge,way paradox way truth test realiti must see tight rope veriti becom acrobat judg
Oscar Wilde,It is exactly because a man cannot do a thing that he is a proper judge of it,exactly man thing proper judge,exactly man thing proper judge,exact man thing proper judg
Oscar Wilde,"Sympathy with joy intensifies the sum of sympathy in the world, sympathy with pain does not really diminish the amount of pain.",Sympathy joy intensifies sum sympathy world sympathy pain really diminish amount pain,Sympathy joy intensify sum sympathy world sympathy pain really diminish amount pain,sympathi joy intensifi sum sympathi world sympathi pain realli diminish amount pain
Oscar Wilde,"The difference between literature and journalism is that journalism is unreadable, and literature is not read",difference literature journalism journalism unreadable literature read,difference literature journalism journalism unreadable literature read,differ literatur journal journal unread literatur read
Oscar Wilde,The best way to appreciate your job is to imagine yourself without one.,best way appreciate job imagine without one,best way appreciate job imagine without one,best way appreci job imagin without one
Oscar Wilde,"Laughter is not at all a bad beginning for a friendship, and it is far the best ending for one.",Laughter bad beginning friendship far best ending one,Laughter bad begin friendship far best end one,laughter bad begin friendship far best end one
Oscar Wilde,A man's face is his autobiography. A woman's face is her work of fiction.,man face autobiography woman face work fiction,man face autobiography woman face work fiction,man face autobiographi woman face work fiction
Oscar Wilde,"Perhaps, after all, America never has been discovered. I myself would say that it had merely been detected.",Perhaps America never discovered would say merely detected,Perhaps America never discover would say merely detect,perhap america never discov would say mere detect
Oscar Wilde,"There is something terribly morbid in the modern sympathy with pain. One should sympathise with the colour, the beauty, the joy of life. The less said about life's sores the better.",something terribly morbid modern sympathy pain One sympathise colour beauty joy life less said life sores better,something terribly morbid modern sympathy pain One sympathise colour beauty joy life le say life sore good,someth terribl morbid modern sympathi pain one sympathis colour beauti joy life le say life sore good
Oscar Wilde,Everybody who is incapable of learning has taken to teaching.,Everybody incapable learning taken teaching,Everybody incapable learn take teach,everybodi incap learn take teach
Oscar Wilde,All that I desire to point out is the general principle that life imitates art far more than art imitates life.,desire point general principle life imitates art far art imitates life,desire point general principle life imitate art far art imitate life,desir point general principl life imit art far art imit life
Oscar Wilde,There is a luxury in self-reproach. When we blame ourselves we feel no one else has a right to blame us.,luxury self reproach blame feel one else right blame us,luxury self reproach blame feel one else right blame u,luxuri self reproach blame feel one els right blame u
Oscar Wilde,Ordinary riches can be stolen; real riches cannot. In your soul are infinitely precious things that cannot be taken from you.,Ordinary riches stolen real riches soul infinitely precious things taken,Ordinary rich steal real rich soul infinitely precious thing take,ordinari rich steal real rich soul infinit precious thing take
Oscar Wilde,"In America the President reigns for four years, and Journalism governs forever and ever.",America President reigns four years Journalism governs forever ever,America President reign four year Journalism govern forever ever,america presid reign four year journal govern forev ever
Oscar Wilde,"If one plays good music, people don't listen and if one plays bad music people don't talk.",one plays good music people listen one plays bad music people talk,one play good music people listen one play bad music people talk,one play good music peopl listen one play bad music peopl talk
Oscar Wilde,"I think that God, in creating man, somewhat overestimated his ability.",think God creating man somewhat overestimated ability,think God create man somewhat overestimate ability,think god creat man somewhat overestim abil
Oscar Wilde,I sometimes think that God in creating man somewhat overestimated his ability.,sometimes think God creating man somewhat overestimated ability,sometimes think God create man somewhat overestimate ability,sometim think god creat man somewhat overestim abil
Oscar Wilde,I have nothing to declare except my genuis.,nothing declare except genuis,nothing declare except genuis,noth declar except genui
Oscar Wilde,I always pass on good advice. It is the only thing to do with it. It is never of any use to oneself.,always pass good advice thing never use oneself,always pas good advice thing never use oneself,alway pas good advic thing never use oneself
Oscar Wilde,Arguments are to be avoided: they are always vulgar and often convincing.,Arguments avoided always vulgar often convincing,Arguments avoid always vulgar often convince,argument avoid alway vulgar often convinc
Oscar Wilde,Anybody can be good in the country. There are no temptations there.,Anybody good country temptations,Anybody good country temptation,anybodi good countri temptat
Oscar Wilde,"All bad poetry springs from genuine feeling. To be natural is to be obvious, and to be obvious is to be inartistic.",bad poetry springs genuine feeling natural obvious obvious inartistic,bad poetry spring genuine feel natural obvious obvious inartistic,bad poetri spring genuin feel natur obvious obvious inartist
Oscar Wilde,A cynic is a man who knows the price of everything but the value of nothing.,cynic man knows price everything value nothing,cynic man know price everything value nothing,cynic man know price everyth valu noth
Oscar Wilde,The difference between literature and journalism is that journalism is unreadable and literature is not read.,difference literature journalism journalism unreadable literature read,difference literature journalism journalism unreadable literature read,differ literatur journal journal unread literatur read
Oscar Wilde,Ambition is the last refuge of the failure.,Ambition last refuge failure,Ambition last refuge failure,ambit last refug failur
Oscar Wilde,"Men marry because they are tired; women, because they are curious; both are disappointed.",Men marry tired women curious disappointed,Men marry tire woman curious disappoint,men marri tire woman curious disappoint
Oscar Wilde,"A man can be happy with any woman, as long as he does not love her.",man happy woman long love,man happy woman long love,man happi woman long love
Oscar Wilde,In modern life nothing produces such an effect as a good platitude. It makes the whole world kin.,modern life nothing produces effect good platitude makes whole world kin,modern life nothing produce effect good platitude make whole world kin,modern life noth produc effect good platitud make whole world kin
Oscar Wilde,"By giving us the opinions of the uneducated, journalism keeps us in touch with the ignorance of the community.",giving us opinions uneducated journalism keeps us touch ignorance community,give u opinion uneducated journalism keep u touch ignorance community,give u opinion uneduc journal keep u touch ignor communiti
Oscar Wilde,"There is no such thing as a moral or an immoral book. Books are well written, or badly written.",thing moral immoral book Books well written badly written,thing moral immoral book Books well write badly write,thing moral immor book book well write bad write
Oscar Wilde,"Man can believe the impossible, but man can never believe the improbable.",Man believe impossible man never believe improbable,Man believe impossible man never believe improbable,man believ imposs man never believ improb
Oscar Wilde,It is better to be beautiful than to be good. But... it is better to be good than to be ugly.,better beautiful good better good ugly,good beautiful good good good ugly,good beauti good good good ugli
Oscar Wilde,When the gods wish to punish us they answer our prayers.,gods wish punish us answer prayers,god wish punish u answer prayer,god wish punish u answer prayer
Oscar Wilde,"There is only one thing in life worse than being talked about, and that is not being talked about.",one thing life worse talked talked,one thing life bad talk talk,one thing life bad talk talk
Oscar Wilde,"There are only two kinds of people who are really fascinating - people who know absolutely everything, and people who know absolutely nothing.",two kinds people really fascinating people know absolutely everything people know absolutely nothing,two kind people really fascinate people know absolutely everything people know absolutely nothing,two kind peopl realli fascin peopl know absolut everyth peopl know absolut noth
Oscar Wilde,A man can't be too careful in the choice of his enemies.,man careful choice enemies,man careful choice enemy,man care choic enemi
Oscar Wilde,There's nothing in the world like the devotion of a married woman. It's a thing no married man knows anything about.,nothing world like devotion married woman thing married man knows anything,nothing world like devotion marry woman thing marry man know anything,noth world like devot marri woman thing marri man know anyth
Oscar Wilde,The cynic knows the price of everything and the value of nothing.,cynic knows price everything value nothing,cynic know price everything value nothing,cynic know price everyth valu noth
Oscar Wilde,Women are never disarmed by compliments. Men always are. That is the difference between the two sexes.,Women never disarmed compliments Men always difference two sexes,Women never disarm compliment Men always difference two sex,women never disarm compliment men alway differ two sex
Oscar Wilde,It is only the modern that ever becomes old-fashioned.,modern ever becomes old fashioned,modern ever become old fashion,modern ever becom old fashion
Oscar Wilde,An excellent man; he has no enemies; and none of his friends like him.,excellent man enemies none friends like,excellent man enemy none friend like,excel man enemi none friend like
Oscar Wilde,"While we look to the dramatist to give romance to realism, we ask of the actor to give realism to romance.",look dramatist give romance realism ask actor give realism romance,look dramatist give romance realism ask actor give realism romance,look dramatist give romanc realism ask actor give realism romanc
Oscar Wilde,"The old believe everything, the middle-aged suspect everything, the young know everything.",old believe everything middle aged suspect everything young know everything,old believe everything middle age suspect everything young know everything,old believ everyth middl age suspect everyth young know everyth
Oscar Wilde,"Pessimist: One who, when he has the choice of two evils, chooses both.",Pessimist One choice two evils chooses,Pessimist One choice two evil choose,pessimist one choic two evil choos
Oscar Wilde,It is only by not paying one's bills that one can hope to live in the memory of the commercial classes.,paying one bills one hope live memory commercial classes,pay one bill one hope live memory commercial class,pay one bill one hope live memori commerci class
Oscar Wilde,Romance should never begin with sentiment. It should begin with science and end with a settlement.,Romance never begin sentiment begin science end settlement,Romance never begin sentiment begin science end settlement,romanc never begin sentiment begin scienc end settlement
Oscar Wilde,There is nothing so difficult to marry as a large nose.,nothing difficult marry large nose,nothing difficult marry large nose,noth difficult marri larg nose
Oscar Wilde,Morality is simply the attitude we adopt towards people whom we personally dislike.,Morality simply attitude adopt towards people personally dislike,Morality simply attitude adopt towards people personally dislike,moral simpli attitud adopt toward peopl person dislik
Oscar Wilde,"Now that the House of Commons is trying to become useful, it does a great deal of harm.",House Commons trying become useful great deal harm,House Commons try become useful great deal harm,hous common tri becom use great deal harm
Oscar Wilde,"Arguments are extremely vulgar, for everyone in good society holds exactly the same opinion.",Arguments extremely vulgar everyone good society holds exactly opinion,Arguments extremely vulgar everyone good society hold exactly opinion,argument extrem vulgar everyon good societi hold exact opinion
Oscar Wilde,The basis of optimism is sheer terror.,basis optimism sheer terror,basis optimism sheer terror,basi optim sheer terror
Oscar Wilde,Only the shallow know themselves.,shallow know,shallow know,shallow know
Oscar Wilde,"What we have to do, what at any rate it is our duty to do, is to revive the old art of Lying.",rate duty revive old art Lying,rate duty revive old art Lying,rate duti reviv old art lie
Oscar Wilde,Woman begins by resisting a man's advances and ends by blocking his retreat.,Woman begins resisting man advances ends blocking retreat,Woman begin resist man advance end block retreat,woman begin resist man advanc end block retreat
Oscar Wilde,The truth is rarely pure and never simple.,truth rarely pure never simple,truth rarely pure never simple,truth rare pure never simpl
Oscar Wilde,Those whom the gods love grow young.,gods love grow young,god love grow young,god love grow young
Oscar Wilde,Fathers should be neither seen nor heard. That is the only proper basis for family life.,Fathers neither seen heard proper basis family life,Fathers neither see hear proper basis family life,father neither see hear proper basi famili life
Oscar Wilde,"It is through Art, and through Art only, that we can realise our perfection.",Art Art realise perfection,Art Art realise perfection,art art realis perfect
Oscar Wilde,It is what you read when you don't have to that determines what you will be when you can't help it.,read determines help,read determine help,read determin help
Oscar Wilde,One's real life is so often the life that one does not lead.,One real life often life one lead,One real life often life one lead,one real life often life one lead
Oscar Wilde,The man who can dominate a London dinner-table can dominate the world.,man dominate London dinner table dominate world,man dominate London dinner table dominate world,man domin london dinner tabl domin world
Oscar Wilde,The salesman knows nothing of what he is selling save that he is charging a great deal too much for it.,salesman knows nothing selling save charging great deal much,salesman know nothing sell save charge great deal much,salesman know noth sell save charg great deal much
Oscar Wilde,"Ah, well, then I suppose I shall have to die beyond my means.",Ah well suppose shall die beyond means,Ah well suppose shall die beyond mean,ah well suppos shall die beyond mean
Oscar Wilde,I can resist everything except temptation.,resist everything except temptation,resist everything except temptation,resist everyth except temptat
Oscar Wilde,No man is rich enough to buy back his past.,man rich enough buy back past,man rich enough buy back past,man rich enough buy back past
Oscar Wilde,Bigamy is having one wife too many. Monogamy is the same.,Bigamy one wife many Monogamy,Bigamy one wife many Monogamy,bigami one wife mani monogami
Oscar Wilde,"How marriage ruins a man! It is as demoralizing as cigarettes, and far more expensive.",marriage ruins man demoralizing cigarettes far expensive,marriage ruin man demoralize cigarette far expensive,marriag ruin man demor cigarett far expens
Oscar Wilde,To lose one parent may be regarded as a misfortune; to lose both looks like carelessness.,lose one parent may regarded misfortune lose looks like carelessness,lose one parent may regard misfortune lose look like carelessness,lose one parent may regard misfortun lose look like careless
Oscar Wilde,"Nothing can cure the soul but the senses, just as nothing can cure the senses but the soul.",Nothing cure soul senses nothing cure senses soul,Nothing cure soul sense nothing cure sense soul,noth cure soul sens noth cure sens soul
Oscar Wilde,When I was young I thought that money was the most important thing in life; now that I am old I know that it is.,young thought money important thing life old know,young think money important thing life old know,young think money import thing life old know
Oscar Wilde,"Most people die of a sort of creeping common sense, and discover when it is too late that the only things one never regrets are one's mistakes.",people die sort creeping common sense discover late things one never regrets one mistakes,people die sort creep common sense discover late thing one never regret one mistake,peopl die sort creep common sens discov late thing one never regret one mistak
Oscar Wilde,"Questions are never indiscreet, answers sometimes are.",Questions never indiscreet answers sometimes,Questions never indiscreet answer sometimes,question never indiscreet answer sometim
Oscar Wilde,To love oneself is the beginning of a lifelong romance.,love oneself beginning lifelong romance,love oneself begin lifelong romance,love oneself begin lifelong romanc
Oscar Wilde,Memory... is the diary that we all carry about with us.,Memory diary carry us,Memory diary carry u,memori diari carri u
Oscar Wilde,No woman should ever be quite accurate about her age. It looks so calculating.,woman ever quite accurate age looks calculating,woman ever quite accurate age look calculate,woman ever quit accur age look calcul
Oscar Wilde,I never travel without my diary. One should always have something sensational to read in the train.,never travel without diary One always something sensational read train,never travel without diary One always something sensational read train,never travel without diari one alway someth sensat read train
Oscar Wilde,I suppose society is wonderfully delightful. To be in it is merely a bore. But to be out of it is simply a tragedy.,suppose society wonderfully delightful merely bore simply tragedy,suppose society wonderfully delightful merely bore simply tragedy,suppos societi wonder delight mere bore simpli tragedi
Oscar Wilde,Life is far too important a thing ever to talk seriously about.,Life far important thing ever talk seriously,Life far important thing ever talk seriously,life far import thing ever talk serious
Oscar Wilde,"The world is divided into two classes, those who believe the incredible, and those who do the improbable.",world divided two classes believe incredible improbable,world divide two class believe incredible improbable,world divid two class believ incred improb
Oscar Wilde,All art is quite useless.,art quite useless,art quite useless,art quit useless
Oscar Wilde,Whenever people agree with me I always feel I must be wrong.,Whenever people agree always feel must wrong,Whenever people agree always feel must wrong,whenev peopl agre alway feel must wrong
Oscar Wilde,The only way to get rid of temptation is to yield to it... I can resist everything but temptation.,way get rid temptation yield resist everything temptation,way get rid temptation yield resist everything temptation,way get rid temptat yield resist everyth temptat
Oscar Wilde,The critic has to educate the public; the artist has to educate the critic.,critic educate public artist educate critic,critic educate public artist educate critic,critic educ public artist educ critic
Oscar Wilde,The pure and simple truth is rarely pure and never simple.,pure simple truth rarely pure never simple,pure simple truth rarely pure never simple,pure simpl truth rare pure never simpl
Oscar Wilde,It is always the unreadable that occurs.,always unreadable occurs,always unreadable occur,alway unread occur
Oscar Wilde,The imagination imitates. It is the critical spirit that creates.,imagination imitates critical spirit creates,imagination imitate critical spirit create,imagin imit critic spirit creat
Oscar Wilde,"The moment you think you understand a great work of art, it's dead for you.",moment think understand great work art dead,moment think understand great work art dead,moment think understand great work art dead
Oscar Wilde,I am not young enough to know everything.,young enough know everything,young enough know everything,young enough know everyth
Oscar Wilde,Man is a rational animal who always loses his temper when he is called upon to act in accordance with the dictates of reason.,Man rational animal always loses temper called upon act accordance dictates reason,Man rational animal always lose temper call upon act accordance dictate reason,man ration anim alway lose temper call upon act accord dictat reason
Oscar Wilde,One's past is what one is. It is the only way by which people should be judged.,One past one way people judged,One past one way people judge,one past one way peopl judg
Oscar Wilde,Society exists only as a mental concept; in the real world there are only individuals.,Society exists mental concept real world individuals,Society exist mental concept real world individual,societi exist mental concept real world individu
Oscar Wilde,"Every portrait that is painted with feeling is a portrait of the artist, not of the sitter.",Every portrait painted feeling portrait artist sitter,Every portrait paint feel portrait artist sitter,everi portrait paint feel portrait artist sitter
Oscar Wilde,All women become like their mothers. That is their tragedy. No man does. That's his.,women become like mothers tragedy man,woman become like mother tragedy man,woman becom like mother tragedi man
Oscar Wilde,A gentleman is one who never hurts anyone's feelings unintentionally.,gentleman one never hurts anyone feelings unintentionally,gentleman one never hurt anyone feel unintentionally,gentleman one never hurt anyon feel unintent
Oscar Wilde,"As long as a woman can look ten years younger than her own daughter, she is perfectly satisfied.",long woman look ten years younger daughter perfectly satisfied,long woman look ten year young daughter perfectly satisfy,long woman look ten year young daughter perfect satisfi
Oscar Wilde,"If you are not too long, I will wait here for you all my life.",long wait life,long wait life,long wait life
Oscar Wilde,"I like persons better than principles, and I like persons with no principles better than anything else in the world.",like persons better principles like persons principles better anything else world,like person good principle like person principle good anything else world,like person good principl like person principl good anyth els world
Oscar Wilde,"I regard the theatre as the greatest of all art forms, the most immediate way in which a human being can share with another the sense of what it is to be a human being.",regard theatre greatest art forms immediate way human share another sense human,regard theatre great art form immediate way human share another sense human,regard theatr great art form immedi way human share anoth sens human
Oscar Wilde,In married life three is company and two none.,married life three company two none,marry life three company two none,marri life three compani two none
Oscar Wilde,"Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth.",Man least talks person Give mask tell truth,Man least talk person Give mask tell truth,man least talk person give mask tell truth
Oscar Wilde,I have the simplest tastes. I am always satisfied with the best.,simplest tastes always satisfied best,simple taste always satisfy best,simpl tast alway satisfi best
Oscar Wilde,"The true mystery of the world is the visible, not the invisible.",true mystery world visible invisible,true mystery world visible invisible,true mysteri world visibl invis
Oscar Wilde,"If there was less sympathy in the world, there would be less trouble in the world.",less sympathy world would less trouble world,le sympathy world would le trouble world,le sympathi world would le troubl world
Oscar Wilde,When good Americans die they go to Paris.,good Americans die go Paris,good Americans die go Paris,good american die go pari
Oscar Wilde,"These days man knows the price of everything, but the value of nothing.",days man knows price everything value nothing,day man know price everything value nothing,day man know price everyth valu noth
Oscar Wilde,I am so clever that sometimes I don't understand a single word of what I am saying.,clever sometimes understand single word saying,clever sometimes understand single word say,clever sometim understand singl word say
Oscar Wilde,Fashion is a form of ugliness so intolerable that we have to alter it every six months.,Fashion form ugliness intolerable alter every six months,Fashion form ugliness intolerable alter every six month,fashion form ugli intoler alter everi six month
Oscar Wilde,"Most people are other people. Their thoughts are someone else's opinions, their lives a mimicry, their passions a quotation.",people people thoughts someone else opinions lives mimicry passions quotation,people people thought someone else opinion live mimicry passion quotation,peopl peopl thought someon els opinion live mimicri passion quotat
Oscar Wilde,"Between men and women there is no friendship possible. There is passion, enmity, worship, love, but no friendship.",men women friendship possible passion enmity worship love friendship,men woman friendship possible passion enmity worship love friendship,men woman friendship possibl passion enmiti worship love friendship
Oscar Wilde,Quotation is a serviceable substitute for wit.,Quotation serviceable substitute wit,Quotation serviceable substitute wit,quotat servic substitut wit
Oscar Wilde,Nothing is so aggravating than calmness.,Nothing aggravating calmness,Nothing aggravate calmness,noth aggrav calm
Oscar Wilde,When a man has once loved a woman he will do anything for her except continue to love her.,man loved woman anything except continue love,man love woman anything except continue love,man love woman anyth except continu love
Oscar Wilde,"Children begin by loving their parents; after a time they judge them; rarely, if ever, do they forgive them.",Children begin loving parents time judge rarely ever forgive,Children begin love parent time judge rarely ever forgive,children begin love parent time judg rare ever forgiv
Oscar Wilde,There is always something infinitely mean about other people's tragedies.,always something infinitely mean people tragedies,always something infinitely mean people tragedy,alway someth infinit mean peopl tragedi
Oscar Wilde,"Alas, I am dying beyond my means.",Alas dying beyond means,Alas die beyond mean,ala die beyond mean
Oscar Wilde,"Women are made to be loved, not understood.",Women made loved understood,Women make love understand,women make love understand
Oscar Wilde,Nowadays to be intelligible is to be found out.,Nowadays intelligible found,Nowadays intelligible find,nowaday intellig find
Oscar Wilde,"The intellect is not a serious thing, and never has been. It is an instrument on which one plays, that is all.",intellect serious thing never instrument one plays,intellect serious thing never instrument one play,intellect serious thing never instrument one play
Oscar Wilde,Private information is practically the source of every large modern fortune.,Private information practically source every large modern fortune,Private information practically source every large modern fortune,privat inform practic sourc everi larg modern fortun
Oscar Wilde,It is a very sad thing that nowadays there is so little useless information.,sad thing nowadays little useless information,sad thing nowadays little useless information,sad thing nowaday littl useless inform
Oscar Wilde,"My great mistake, the fault for which I can't forgive myself, is that one day I ceased my obstinate pursuit of my own individuality.",great mistake fault forgive one day ceased obstinate pursuit individuality,great mistake fault forgive one day cease obstinate pursuit individuality,great mistak fault forgiv one day ceas obstin pursuit individu
Oscar Wilde,It is better to have a permanent income than to be fascinating.,better permanent income fascinating,good permanent income fascinate,good perman incom fascin
Oscar Wilde,Life is too important to be taken seriously.,Life important taken seriously,Life important take seriously,life import take serious
Oscar Wilde,Marriage is the triumph of imagination over intelligence.,Marriage triumph imagination intelligence,Marriage triumph imagination intelligence,marriag triumph imagin intellig
Oscar Wilde,The one person who has more illusions than the dreamer is the man of action.,one person illusions dreamer man action,one person illusion dreamer man action,one person illus dreamer man action
Oscar Wilde,"Ignorance is like a delicate fruit; touch it, and the bloom is gone.",Ignorance like delicate fruit touch bloom gone,Ignorance like delicate fruit touch bloom go,ignor like delic fruit touch bloom go
Oscar Wilde,"He rides in the row at ten o clock in the morning, goes to the Opera three times a week, changes his clothes at least five times a day, and dines out every night of the season. You don't call that leading an idle life, do you?",rides row ten clock morning goes Opera three times week changes clothes least five times day dines every night season call leading idle life,rid row ten clock morning go Opera three time week change clothe least five time day din every night season call lead idle life,rid row ten clock morn go opera three time week chang cloth least five time day din everi night season call lead idl life
Oscar Wilde,The value of an idea has nothing whatever to do with the sincerity of the man who expresses it.,value idea nothing whatever sincerity man expresses,value idea nothing whatever sincerity man express,valu idea noth whatev sincer man express
Oscar Wilde,"A man who moralizes is usually a hypocrite, and a woman who moralizes is invariably plain",man moralizes usually hypocrite woman moralizes invariably plain,man moralize usually hypocrite woman moralize invariably plain,man moral usual hypocrit woman moral invari plain
Oscar Wilde,"Imagination is a quality given a man to compensate him for what he is not, and a sense of humor was provided to console him for what he is.",Imagination quality given man compensate sense humor provided console,Imagination quality give man compensate sense humor provide console,imagin qualiti give man compens sens humor provid consol
Oscar Wilde,"The only thing that one really knows about human nature is that it changes. Change is the one quality we can predicate of it. The systems that fail are those that rely on the permanency of human nature, and not on its growth and development. The error of Louis XIV was that he thought human nature would always be the same. The result of his error was the French Revolution. It was an admirable result.",thing one really knows human nature changes Change one quality predicate systems fail rely permanency human nature growth development error Louis XIV thought human nature would always result error French Revolution admirable result,thing one really know human nature change Change one quality predicate system fail rely permanency human nature growth development error Louis XIV think human nature would always result error French Revolution admirable result,thing one realli know human natur chang chang one qualiti predic system fail reli perman human natur growth develop error loui xiv think human natur would alway result error french revolut admir result
Oscar Wilde,It is because Humanity has never known where it was going that it has been able to find its way.,Humanity never known going able find way,Humanity never know go able find way,human never know go abl find way
Oscar Wilde,The brotherhood of man is not a mere poet's dream: it is a most depressing and humiliating reality.,brotherhood man mere poet dream depressing humiliating reality,brotherhood man mere poet dream depress humiliate reality,brotherhood man mere poet dream depress humili realiti
Oscar Wilde,"The world is a stage, but the play is badly cast.",world stage play badly cast,world stage play badly cast,world stage play bad cast
Oscar Wilde,Anybody can make history. Only a great man can write it.,Anybody make history great man write,Anybody make history great man write,anybodi make histori great man write
Oscar Wilde,"To give an accurate description of what has never occurred is not merely the proper occupation of the historian, but the inalienable privilege of any man of parts and culture.",give accurate description never occurred merely proper occupation historian inalienable privilege man parts culture,give accurate description never occur merely proper occupation historian inalienable privilege man part culture,give accur descript never occur mere proper occup historian inalien privileg man part cultur
Oscar Wilde,"Whenever cannibals are on the brink of starvation, Heaven, in its infinite mercy, sends them a nice plump missionary",Whenever cannibals brink starvation Heaven infinite mercy sends nice plump missionary,Whenever cannibal brink starvation Heaven infinite mercy send nice plump missionary,whenev cannib brink starvat heaven infinit merci send nice plump missionari
Oscar Wilde,The heart was made to be broken,heart made broken,heart make break,heart make break
Oscar Wilde,I hate vulgar realism in literature. The man who could call a spade a spade should be compelled to use one. It is the only thing he is fit for.,hate vulgar realism literature man could call spade spade compelled use one thing fit,hate vulgar realism literature man could call spade spade compel use one thing fit,hate vulgar realism literatur man could call spade spade compel use one thing fit
Oscar Wilde,"When we are happy we are always good, but when we are good we are not always happy.",happy always good good always happy,happy always good good always happy,happi alway good good alway happi
Oscar Wilde,A man can be happy with any woman as long as he does not love her,man happy woman long love,man happy woman long love,man happi woman long love
Oscar Wilde,What nonsense people talk about happy marriages!  A man can be happy with any woman so long as he doesn't love her,nonsense people talk happy marriages man happy woman long love,nonsense people talk happy marriage man happy woman long love,nonsens peopl talk happi marriag man happi woman long love
Oscar Wilde,Anybody can make history; only a great man can write it,Anybody make history great man write,Anybody make history great man write,anybodi make histori great man write
Oscar Wilde,Shallow sorrows and shallow loves live on. The loves and sorrows that are great are destroyed by their own plenitude.,Shallow sorrows shallow loves live loves sorrows great destroyed plenitude,Shallow sorrow shallow love live love sorrow great destroy plenitude,shallow sorrow shallow love live love sorrow great destroy plenitud
Oscar Wilde,"What is said of a man is nothing. The point is, who says it.",said man nothing point says,say man nothing point say,say man noth point say
Oscar Wilde,Gossip is charming! History is merely gossip. But scandal is gossip made tedious by morality.,Gossip charming History merely gossip scandal gossip made tedious morality,Gossip charm History merely gossip scandal gossip make tedious morality,gossip charm histori mere gossip scandal gossip make tedious moral
Oscar Wilde,Scandal is gossip made tedious by morality,Scandal gossip made tedious morality,Scandal gossip make tedious morality,scandal gossip make tedious moral
Oscar Wilde,"To be good, according to the vulgar standard of goodness, is obviously quite easy. It merely requires a certain amount of sordid terror, a certain lack of imaginative thought, and a certain low passion for middle-class respectability.",good according vulgar standard goodness obviously quite easy merely requires certain amount sordid terror certain lack imaginative thought certain low passion middle class respectability,good accord vulgar standard goodness obviously quite easy merely require certain amount sordid terror certain lack imaginative think certain low passion middle class respectability,good accord vulgar standard good obvious quit easi mere requir certain amount sordid terror certain lack imagin think certain low passion middl class respect
Oscar Wilde,"If you pretend to be good, the world takes you very seriously. If you pretend to be bad, it doesn't. Such is the astounding stupidity of optimism.",pretend good world takes seriously pretend bad astounding stupidity optimism,pretend good world take seriously pretend bad astound stupidity optimism,pretend good world take serious pretend bad astound stupid optim
Oscar Wilde,I see when men love women. They give them but a little of their lives. But women when they love give everything.,see men love women give little lives women love give everything,see men love woman give little live woman love give everything,see men love woman give littl live woman love give everyth
Oscar Wilde,A true gentleman is one who is never unintentionally rude.,true gentleman one never unintentionally rude,true gentleman one never unintentionally rude,true gentleman one never unintent rude
Oscar Wilde,A true gentleman is one who is never unintentionally rude,true gentleman one never unintentionally rude,true gentleman one never unintentionally rude,true gentleman one never unintent rude
Oscar Wilde,Only my own genius.,genius,genius,genius
Oscar Wilde,"Put your talent into your work, but your genius into your life",Put talent work genius life,Put talent work genius life,put talent work genius life
Oscar Wilde,"From the point of view of literature Mr. Kipling is a genius who drops his aspirates. From the point of view of life, he is a reporter who knows vulgarity better than any one has ever known it.",point view literature Mr Kipling genius drops aspirates point view life reporter knows vulgarity better one ever known,point view literature Mr Kipling genius drop aspirate point view life reporter know vulgarity good one ever know,point view literatur mr kipl genius drop aspir point view life report know vulgar good one ever know
Oscar Wilde,Genius lasts longer than Beauty. That accounts for the fact that we all take such pains to over-educate ourselves.,Genius lasts longer Beauty accounts fact take pains educate,Genius last long Beauty account fact take pain educate,genius last long beauti account fact take pain educ
Oscar Wilde,Ridicule is the tribute paid to the genius by the mediocrities.,Ridicule tribute paid genius mediocrities,Ridicule tribute pay genius mediocrity,ridicul tribut pay genius mediocr
Oscar Wilde,"There is only one real tragedy in a woman's life. The fact that her past is always her lover, and her future invariably her husband.",one real tragedy woman life fact past always lover future invariably husband,one real tragedy woman life fact past always lover future invariably husband,one real tragedi woman life fact past alway lover futur invari husband
Oscar Wilde,Every saint has a past and every sinner has a future.,Every saint past every sinner future,Every saint past every sinner future,everi saint past everi sinner futur
Oscar Wilde,Illusion is the first of all pleasures.,Illusion first pleasures,Illusion first pleasure,illus first pleasur
